名称,法人,注册资本,注册时间,电话,souji1,邮箱,统一信用代码,企业类型,行业,注册地址,经营范围,省份,城市,区
徐州市新春城冶炼铸造厂,王勇,2000万元人民币,2002/9/2,0516-87258567,13852434128；13952160815；,763140977@qq.com,913203127424672838,个人独资企业,黑色金属冶炼和压延加工业 ,铜山县利国镇寄堡村,生铁铸造、冶炼，石灰制造，生铁、焦炭、炉料经销；石料加工、销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,徐州市,铜山区
澳普利发（嘉兴）门窗有限公司,丁勇,200万元人民币,2014/5/8,18857392193,18857392192；18957392192；0573-84893557；,,9133042130751329XC,有限责任公司(自然人投资或控股),金属制品业 ,浙江省嘉兴市嘉善县大云镇嘉善大道1600号1楼,金属、木制门窗安装、销售、维修及售后服务；五金交电、玻璃制品、塑料制品、建材、装潢材料（除危险化学品及易制毒化学品）的批发零售。,浙江,嘉兴市,嘉善县
南京宁创视讯科技有限公司,董金亮,308万元人民币,2017/5/11,15850545829,18168017667；,3224931380@qq.com,91320115MA1NYXL096,有限责任公司(自然人独资),研究和试验发展,南京市江宁区东山街道文靖西路175号,光电产品的技术研发、技术咨询、技术服务；计算机软硬件、电子技术的咨询、调试、维修、租赁；通讯工程施工；电子产品、大屏幕、照明电器、文化用品、办公用品的销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）一般项目：人工智能硬件销售；软件销售；电器辅件销售；移动终端设备销售；办公用品销售；办公设备销售；办公设备耗材销售；信息安全设备销售；数字视频监控系统销售；音响设备销售；照相机及器材销售；网络设备销售；通讯设备销售；仪器仪表销售；电气机械设备销售；工业自动控制系统装置销售；显示器件销售；电子产品销,江苏,南京市,江宁区
徐州市国塑包装品有限公司,林日鹏,268万元人民币,2004/8/19,13056218888,0516-89943288；15380139765；,2353578657@qq.com,91320322765121445R,有限责任公司(自然人投资或控股),橡胶和塑料制品业,沛县大屯镇魏营工业园路东侧,塑料制品加工销售，棉纺制品、仪器仪表、编织机零配件、石腊销售，包装装潢印刷品、其他印刷品印刷销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,徐州市,沛县
南京铁马汽配有限公司,王伟,200万元人民币,2002/4/16,025-86911112,025-86911113；025-85303031；13382001108；,,913201137360796206,有限责任公司(自然人投资或控股),批发业,南京经济技术开发区新港大道42号10号楼101,汽车配件、橡胶制品、润滑油、家用电器、五金机电、日用百货、旅游用品、家具销售；汽车专用管路加工；道路货物运输（须取得许可或批准后方可经营）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,栖霞区
徐州华通建材有限公司,曹林,500万元人民币,2017/4/12,18652232555,17751989212；,304229843@qq.com,91320301MA1NQYYX0T,有限责任公司(自然人独资),批发业,徐州经济技术开发区碧螺山怡翠园17#楼-1层109室,建筑材料、钢材、五金产品销售；房屋建筑工程、市政工程、安防工程、土石方工程、园林绿化工程设计、施工；机械设备维修、租赁；普通货物道路运输。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,徐州市,徐州经济技术开发区
南京华奕景商贸有限公司,刘奕翔,260万元人民币,2013/2/16,18602533232,13705174709；15951904684；13851704864；025-85635637；,764790365@qq.com,9132010606260319XJ,有限责任公司(自然人独资),批发业,南京市鼓楼区东宝路8号时代天地广场01幢2101室,服装、鞋帽、日用百货、电子产品、建筑材料、宠物饲料、宠物用品、办公用品、劳保用品、装饰装修材料、防水材料销售；经济信息咨询、商务信息咨询；道路货物运输（须取得许可证后方可经营）；建筑工程设计、施工；提供建筑劳务服务；环境污染处理剂、隧道盾构专用材料（不含许可项目）销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,鼓楼区
徐州市贵人缘家具有限公司,李永娥,1000万元人民币,2003/10/17,15062167199,0516-87131288；0516-85526910；13512569567；,15062167199@qq.com,91320305778666938F,有限责任公司(自然人投资或控股),家具制造业 ,徐州市贾汪区大吴镇鹿庄村,家具制造、销售；自营和代理各类商品及技术的进出口业务（国家限定经营或禁止进出口的商品和技术除外）；普通货物道路运输；床垫、木材销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,徐州市,贾汪区
徐州市绿点环保科技有限公司,张鸿伟,200万元人民币,2014/2/26,13775989981,15250947747；15905209905；,13775989981@qq.com,91320311088541484X,有限责任公司(自然人独资),商务服务业,徐州市泉山区煤建一街新建北村综合楼202室,环保技术开发、技术咨询；环保设备及配件开发、销售；环保工程设计、施工；水性涂料、电子产品、电气设备、建筑材料、五金产品、仪器仪表、玻璃制品、钢材、化工产品及原料（不含危险化学品）销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,徐州市,泉山区
南京褀轩商贸有限公司,戴娟,500万元人民币,2013/12/4,18651691177,13951701670；17701595537；025-85431819；,229693650@QQ.COM,91320106084168635L,有限责任公司(自然人投资或控股),批发业,南京市鼓楼区燕江路201号5388室,金属材料、建筑材料、木材销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,鼓楼区
南京顶峰创智工程科技有限公司,杨文虎,304.5万元人民币,2016/4/27,13813367670,,13813367670@qq.com,91320106MA1MK19D4J,有限责任公司(自然人投资或控股),科技推广和应用服务业,南京市鼓楼区马台街70号,智能化工程、建筑工程、土木工程、电气工程、通信工程、消防工程、钢结构工程、暖通工程、靶场装饰工程、仓库设计与施工；电子产品、机电产品、通信设备、自动报靶系统、电子靶、训练靶设备、模拟训练设备的研发、生产、销售、安装、维修、租赁；计算机软硬件开发、销售及技术服务；新材料研发、生产及销售；计算机软硬件及配件、五金制品、塑料制品、办公用品、建筑材料、电气设备、暖通设备、机电设备销售；建筑工程项目管理。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,鼓楼区
徐州方舟新能源科技有限公司,郑聪聪,1000万元人民币,2014/4/22,13952155500,0516-87610883；,,913203053018598121,有限责任公司(自然人独资),商务服务业,徐州市贾汪区贾韩中路贾汪中学对面,新能源技术咨询；太阳能光热、光电工程施工；太阳能、燃气器具的销售、安装；太阳能热水器、太阳能光伏发电设备及组件、LED灯泡、电路板、燃气壁挂炉、电热水器、净水设备、空气净化器、建筑工程材料、五金交电、水暖器材、灯具、家用电器、日用百货销售； 自营和代理各类商品及技术的进出口业务（国家禁止或限定进出口的商品和技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,徐州市,贾汪区
江苏威豪机电设备工程有限公司,沈强,501万元人民币,2013/4/3,0512-55899998,0512-57399650；13776351688；,370909089@qq.com,91320583064586434J,有限责任公司(自然人投资或控股),建筑安装业,玉山镇玉城中路333号1幢,市政工程、房屋拆迁工程（不含爆破）、机电工程、管道工程、环保工程、室内外装饰工程、无尘室工程、弱电工程、暖通工程、消防工程、计算机系统工程；机电设备、无尘室设备、涂装机械设备、五金制品的制造及销售；电子器材、电子元件、灯具、塑料制品的销售；工业生产线的设计、安装、施工、维护、保养；货物及技术的进出口业务，法律、行政法规规定前置许可经营、禁止经营的除外。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,苏州市,昆山市
浙江邦程科技有限公司,楼加林,10300万元人民币,2008/3/10,13968157888,0571-23259191；0571-61763228；0571-23209091；,763847846@qq.com,913301836706339078,有限责任公司(自然人独资),计算机、通信和其他电子设备制造业,浙江省杭州市富阳区富春街道恩波大道800号第10层,光电通信设备、电子设备及器材、机械智能化设备技术研发，技术服务，技术成果转让；交通设施、安防监控设备、电力设备、通信设备、电子设备及器材、化工产品（除化学危险品及易制毒化学品）、电工器材、钢材销售；通信工程安装、施工。分支机构设在浙江省杭州市富阳区东洲街道工业功能区九号路1号第3幢-103，经营范围：通信设备及配件、安防监控设备及配件生产，组装，销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,浙江,杭州市,富阳区
徐州恒昌筛网制造有限公司,任振宏,600万元人民币,2000/9/7,15252021692,18852189696；0516-85670123；13705202099；,rwq@sina.com,91320300722829523C,有限责任公司(自然人投资或控股),批发业,徐州市铜山区拾屯街道办事处吴屯村云天物流园内,筛网生产、销售；钢结构件加工；金属制品、机械设备加工；振动筛及配件、橡胶制品、聚氨酯制品、不锈钢制品、玻纤制品、机械设备配件、五金产品、交通设施、钢材、汽车配件销售；自营和代理各类商品和技术的进出口业务（国家限定经营或禁止进出口的商品或技术除外）；交通及公共管理用金属标牌制造；交通设施维修；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；建筑用金属配件制造；建筑装饰材料销售；铁路机车车辆配件销售；高铁设备、配件销售；采购代理服务；五金产品研发；通讯设备销售；金属丝绳及其制品销售；普通货物仓储服,江苏,徐州市,铜山区
徐州康荣建筑机械租赁有限公司,刘立国,200万元人民币,2017/8/25,13775969825,18606184566；,,91320322MA1Q59RC41,有限责任公司(自然人独资),租赁业,沛县魏庙镇工业园区,建筑工程机械与设备租赁，金属结构加工、销售，房屋建筑，防腐保温工程服务，园林绿化工程服务，古建筑园林工程建筑，土石方工程服务，消防设施工程施工，铁路、道路、隧道和桥梁工程建筑，建筑安装，建筑装饰，绿化管理，建筑工程劳务作业分包，照明工程施工，环保工程服务，水利和内河港口工程建筑，管道工程建筑，建筑物拆除活动（爆破拆除除外），建材、钢材、五金产品、电气设备批发、零售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,徐州市,沛县
徐州市海福商贸有限公司,张建,200万元人民币,2000/4/18,13805201551,,,91320302720615521W,有限责任公司(自然人投资或控股),批发业,徐州市下淀农贸市场乙号楼-3-203,"包装食品、酒、糖、茶、日用百货、五金交电、机械配件、建材、化工产品、装饰材料、灯具销售；家用电器销售及售后服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",江苏,徐州市,鼓楼区
